date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,47.5,44.1,51.1,1.913,158.2,7.6,1011.2
2021-01-02,47.8,43.0,48.9,1.913,165.4,14.9,1007.2
2021-01-03,43.2,39.0,48.0,0.61,144.6,8.9,1012.5
2021-01-04,46.2,44.1,48.0,0.854,169.9,8.9,1005.6
2021-01-05,43.3,41.0,45.0,0.516,140.4,7.3,1016.8
2021-01-06,45.5,39.0,51.1,0.232,152.2,6.5,1016.7
2021-01-07,44.1,39.9,48.9,0.0,125.7,1.9,1022.2
2021-01-08,44.6,36.0,51.1,0.283,140.2,3.0,1023.0
2021-01-09,38.5,34.0,43.0,0.0,106.1,1.7,1025.1
2021-01-10,45.0,42.1,48.9,0.205,84.3,3.3,1022.4
2021-01-11,44.8,41.0,46.9,1.217,137.1,4.8,1017.2
2021-01-12,52.0,45.0,55.9,1.685,159.1,9.6,1004.7
2021-01-13,46.9,39.2,55.4,0.264,207.1,11.7,1023.7
2021-01-14,45.1,37.9,52.0,0.008,118.8,2.4,1029.2
2021-01-15,47.5,42.1,54.0,0.114,45.2,3.0,1029.0
2021-01-16,41.7,37.0,46.9,0.0,23.5,1.6,1028.8
2021-01-17,46.0,43.0,50.0,0.067,102.9,3.9,1031.3
2021-01-18,43.5,39.0,48.0,0.0,33.1,2.0,1034.9
2021-01-19,38.5,34.0,44.1,0.0,146.5,3.2,1030.2
2021-01-20,40.1,34.0,45.0,0.0,185.7,1.8,1022.1
2021-01-21,43.5,41.0,46.0,0.134,36.1,2.2,1018.4
2021-01-22,41.7,34.0,46.0,0.0,22.4,8.0,1018.1
2021-01-23,35.1,27.0,42.1,0.0,166.4,4.4,1019.2
2021-01-24,38.8,37.9,41.0,0.327,152.2,6.8,1008.6
2021-01-25,40.1,35.1,45.0,0.0,188.4,7.3,1010.0
2021-01-26,38.8,33.1,43.0,0.0,130.1,7.9,1002.7
2021-01-27,41.5,37.0,45.0,0.094,65.7,3.7,1000.6
2021-01-28,42.3,39.9,46.0,0.236,15.1,1.6,1006.3
2021-01-29,42.6,39.9,46.9,0.051,113.2,3.2,1009.1
2021-01-30,43.9,39.9,48.9,0.409,114.9,4.0,1012.0
2021-01-31,45.0,43.0,46.9,0.39,144.0,3.1,1012.1
2021-02-01,46.6,43.0,50.0,0.902,138.7,3.8,1007.4
2021-02-02,42.3,39.2,44.6,0.453,166.6,8.0,1009.9
2021-02-03,43.3,39.9,48.0,0.098,19.2,2.2,1019.6
2021-02-04,45.0,42.1,48.9,0.067,173.0,8.9,1026.1
2021-02-05,47.8,45.0,52.0,0.02,203.6,7.3,1021.5
2021-02-06,46.0,44.1,51.1,0.024,194.9,12.2,1017.3
2021-02-07,43.0,39.0,46.9,0.004,188.6,8.0,1015.7
2021-02-08,38.5,34.0,42.1,0.0,175.3,3.5,1018.0
2021-02-09,38.5,34.0,43.0,0.0,28.4,3.0,1021.1
2021-02-10,35.6,28.0,42.1,0.0,131.0,3.9,1022.2
2021-02-11,33.8,30.9,37.0,0.079,42.2,5.7,1019.0
2021-02-12,30.6,25.0,34.0,0.213,105.2,6.4,1016.2
2021-02-13,27.7,25.0,30.0,0.591,136.2,9.2,1009.3
2021-02-14,32.2,30.0,36.0,0.425,129.0,7.5,1012.2
2021-02-15,37.8,33.1,44.1,0.772,150.4,7.2,1003.3
2021-02-16,41.9,36.0,48.9,0.043,190.5,4.4,1016.6
2021-02-17,40.3,36.0,46.9,0.008,114.8,2.4,1026.5
2021-02-18,40.3,35.1,45.0,0.189,140.6,5.8,1018.8
2021-02-19,43.5,41.0,48.0,0.087,173.6,9.5,1018.0
2021-02-20,43.5,39.0,50.0,0.039,186.9,7.2,1024.5
2021-02-21,47.7,42.1,52.0,0.189,181.7,15.2,1026.2
2021-02-22,48.7,42.1,52.0,0.673,191.8,11.7,1021.7
2021-02-23,41.5,37.0,48.9,0.075,160.2,5.8,1026.3
2021-02-24,39.6,33.1,45.0,0.0,142.5,4.4,1033.7
2021-02-25,43.0,37.9,48.9,0.154,195.0,10.1,1019.9
2021-02-26,42.8,39.0,50.0,0.142,149.5,7.5,1014.2
2021-02-27,41.2,33.1,48.0,0.0,185.7,5.0,1023.6
2021-02-28,45.9,39.9,52.0,0.024,160.2,8.2,1024.0
2021-03-01,47.5,37.9,57.0,0.0,162.0,4.1,1018.5
2021-03-02,44.2,42.1,48.0,0.0,20.1,2.3,1017.2
2021-03-03,44.4,34.0,55.9,0.0,184.6,2.6,1010.2
2021-03-04,44.2,36.0,51.1,0.197,131.4,6.3,1015.2
2021-03-05,47.3,45.0,53.1,0.15,168.0,6.9,1013.2
2021-03-06,45.0,41.0,50.0,0.024,192.1,9.8,1015.5
