Category: All categories

Week,Gonzaga University: (United States)
2020-12-13,3
2020-12-20,4
2020-12-27,1
2021-01-03,3
2021-01-10,3
2021-01-17,1
2021-01-24,1
2021-01-31,2
2021-02-07,3
2021-02-14,3
2021-02-21,2
2021-02-28,2
2021-03-07,6
2021-03-14,9
2021-03-21,19
2021-03-28,52
2021-04-04,100
2021-04-11,3
2021-04-18,3
2021-04-25,1
2021-05-02,3
2021-05-09,1
2021-05-16,1
2021-05-23,2
2021-05-30,2
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,1
2021-07-11,1
2021-07-18,1
2021-07-25,2
2021-08-01,<1
2021-08-08,1
2021-08-15,1
2021-08-22,2
2021-08-29,1
2021-09-05,1
2021-09-12,2
2021-09-19,1
2021-09-26,1
2021-10-03,1
2021-10-10,1
2021-10-17,2
2021-10-24,1
2021-10-31,1
2021-11-07,2
2021-11-14,3
2021-11-21,7
2021-11-28,2
2021-12-05,3
